Row,Anon Student Id,Session Id,Time,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Unit),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Outcome,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Condition Name,KC (Step),KC Category (Step),KC (Problem),KC Category (Problem),KC (ActualSkill),KC Category (ActualSkill),KC (Default),KC Category (Default),KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (ACTION),ExampleProblemTypeQuestion,Problem From Examples Tab?,Quiz ID,Problem from Failed Quiz Questions?,Count of Quiz Problems per Block,Metatutor Hint Followed?,Problem Category,Full Skillometer Opp Count,CF (ACTION_TYPE),CF (DURATION),CF (INFO),CF (RESULT),CF (STATUS),CF (STUDENT_LOG_COUNT),CF (USERID),CF (date),CF (tool_event_time)
633,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45376,3,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,5,INCORRECT,<html><bodyleftmargin=15topmargin=8marginwidth=15marginheight=5>Examples</body></html>,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,10,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:25.866
634,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45377,1,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,6,CORRECT,<html><bodyleftmargin=15topmargin=8marginwidth=15marginheight=5>Examples</body></html>,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-tab-clicked,Start,11,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:26.056
635,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,7,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Left Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,13804,,<html><body leftmargin=15 topmargin=8 marginwidth=15 marginheight=5>Examples</body></html>,Start,12,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:39.428
636,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,Unknown,8,UNGRADED,,,,,,,MetaTutor,,,,,,,,,Single-KC,,KC106,,Pilot,Pilot,Switched Tab,,,,,,,,,SIM_STUDENT_ACTION_LISTENER,,,Anna,Start,13,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:39.611
637,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,7,INCORRECT,Anna,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,14,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:39.717
638,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45392,3.25,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,8,CORRECT,Anna,TabClicked,'-1,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-tab-clicked,Start,15,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:39.817
639,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45412,8.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,9,INCORRECT,dorminTable1_C1R1,UpdateTable,'3x,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,16,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:56.960
641,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45413,1,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,10,CORRECT,dorminTable1_C1R1,UpdateTable,'3x,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,BUG-simst-enter-lhs-problem,Start,17,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:57.061
642,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45414,1,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,'START,11,UNGRADED,,,,Anna: Is this how you wanted the problem?,,,MetaTutor,,,,,,,,,Single-KC,,KC121,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Start,18,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:53:58.261
643,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,HINT_REQUEST,,HINT_MSG,,simStSession,START,1,41650.45282,'START,12,UNGRADED,,,,Me: Yes,,,MetaTutor,,,,,,,,,Single-KC,,KC121,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Start,19,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:54:01.691
644,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,13,INCORRECT,dorminTable1_C1R1,UpdateTable,'3x,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,20,ssmtJan14-p01,2014-01-11 Sat,2014-01-11-10:54:01.779
645,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45418,0.75,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,14,CORRECT,dorminTable1_C1R1,UpdateTable,'3x,,,,MetaTutor,,,,,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,BUG-simst-enter-lhs-problem,Start,21,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:01.873
647,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,15,INCORRECT,dorminTable2_C1R1,UpdateTable,'6,,,,MetaTutor,,,'Nv=N,OneStep,problem-entry-Student,problem-entry,quiz-Student,quiz,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Start,22,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.067
648,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0.5,ATTEMPT,Student,RESULT,Logged Only,simStSession,START,1,41650.45282,'START,16,CORRECT,dorminTable2_C1R1,UpdateTable,'6,,,,MetaTutor,,,'Nv=N,OneStep,problem-entry-Student,problem-entry,problem-entry-Student,problem-entry,Single-KC,,KC121,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,BUG-simst-enter-rhs-problem,Start,23,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.310
649,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,ATTEMPT,Student,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'START,1,INCORRECT,yes,ButtonPressed,'-1,,,,MetaTutor,,,'Nv=N,OneStep,yes-Student,yes,quiz-Student,quiz,Single-KC,,KC17,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-launch-take-quiz,Tutoring,24,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.565
650,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,1,UNGRADED,,,,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,New Problem Entered,,,,,,,,,SIM_STUDENT_PROBLEM,,,,Tutoring,25,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.570
651,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,2,UNGRADED,,,,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,New Step Started,,,,,,,,,SIM_STUDENT_STEP,,,,Tutoring,26,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.659
652,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,3,UNGRADED,,,,Anna: If I do that...,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,27,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.703
653,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45419,0,ATTEMPT,Student,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'START,2,CORRECT,yes,ButtonPressed,'-1,,,,MetaTutor,,,'Nv=N,OneStep,yes-Student,yes,yes-Student,yes,Single-KC,,KC17,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,BUG-simst-start-problem,Tutoring,28,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:02.742
654,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.4542,0.333,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,4,UNGRADED,,,,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,Activation Rules Determined,,,,,,,,,SIM_STUDENT_LEARNING,640,,1 rules found,Tutoring,29,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:03.384
656,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.4542,0.333,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6,5,CORRECT,dorminTable3_C1R1,UpdateTable,'divide 3,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,divide-SimStudent,divide,divide-SimStudent,divide,Single-KC,,KC126,,Pilot,Pilot,Activation Rule Considered,,,,,,,,,SIM_STUDENT_LEARNING,,,0,Tutoring,30,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:03.480
3822,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,1/11/14 10:54,119,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,1/11/14 10:52,'3x=6,1,CORRECT,dorminTable3_C1R1,UpdateTable,'divide 3,I thought it would be good to put divide 3 for the transformation. Does that sound okay?,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,divide-SimStudent,divide,divide-SimStudent,divide,Single-KC,,KC104,,Pilot,Pilot,Sim Student Requesting Confirmation of Input,,,,,,,,,SIM_STUDENT_INFO_RECEIVED,,,,Tutoring,31,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:03.702
655,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.4542,0.333,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,6,UNGRADED,,,,Anna: I thought it would be good to put divide 3 for the transformation. Does that sound okay?,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,32,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:03.908
657,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45456,10.333,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,7,UNGRADED,,,,Me: Yes,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,33,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:34.440
23,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45456,150,ATTEMPT,Student Meta,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6,1,CORRECT,dorminTable3_C1R1,UpdateTable,'divide 3,I thought it would be good to put divide 3 for the transformation. Does that sound okay?,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,divide-Student,divide,divide-Student,divide,Single-KC,,KC51,,Pilot,Pilot,Student Verified Correctness of Sim Student Input,,,,,,,,,SIM_STUDENT_INFO_RECEIVED,30811,,Correct Action,Tutoring,34,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:34.509
658,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45456,10.333,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,8,UNGRADED,dorminTable3_C1R1,UpdateTable,'divide 3,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,divide-SimStudent,divide,,,Single-KC,,KC126,,Pilot,Pilot,Positive Example Received,,,,,,,,,SIM_STUDENT_LEARNING,,,"FOA:[MAIN::cell|dorminTable3_C1R1|divide 3, MAIN::cell|dorminTable1_C1R1|3x, MAIN::cell|dorminTable2_C1R1|6]",Tutoring,35,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:34.705
659,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45456,10.333,ATTEMPT,Student,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6,9,CORRECT,yes,ButtonPressed,'-1,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,yes-Student,yes,yes-Student,yes,Single-KC,,KC126,,Pilot,Pilot,Metatutor Model Traced,,,,,,,,,SIM_STUDENT_METATUTOR,,,simst-feedback-request-provide-positive-feedback,Tutoring,36,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:34.743
660,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45457,0.2,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6,10,UNGRADED,,,,,,,MetaTutor,'Nv=N,Transformation,'Nv=N,OneStep,,,,,Single-KC,,KC126,,Pilot,Pilot,Step Completed,,,,,,,,,SIM_STUDENT_STEP,32484,,,Tutoring,37,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:35.186
661,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45457,0.2,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],1,UNGRADED,,,,,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,,,,,Single-KC,,KC31,,Pilot,Pilot,New Step Started,,,,,,,,,SIM_STUDENT_STEP,,,,Tutoring,38,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:35.313
662,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45457,0.2,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],2,UNGRADED,,,,Anna: If I do that...,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,,,,,Single-KC,,KC31,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,39,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:35.347
663,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45457,0.2,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],3,UNGRADED,,,,,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,,,,,Single-KC,,KC31,,Pilot,Pilot,Activation Rules Determined,,,,,,,,,SIM_STUDENT_LEARNING,497,,3 rules found,Tutoring,40,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:35.879
664,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45457,0.2,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],4,CORRECT,dorminTable1_C1R2,UpdateTable,'x,,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,divide-typein-SimStudent,divide-typein,divide-typein-SimStudent,divide-typein,Single-KC,,KC31,,Pilot,Pilot,Activation Rule Considered,,,,,,,,,SIM_STUDENT_LEARNING,,,0,Tutoring,41,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:35.995
666,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45458,0.333,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],5,CORRECT,dorminTable2_C1R2,UpdateTable,'2,,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,divide-typein-SimStudent,divide-typein,divide-typein-SimStudent,divide-typein,Single-KC,,KC31,,Pilot,Pilot,Activation Rule Considered,,,,,,,,,SIM_STUDENT_LEARNING,,,1,Tutoring,42,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:36.131
667,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45458,0.333,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],6,INCORRECT,done,ButtonPressed,'-1,,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,done-SimStudent,done,divide-typein-SimStudent,divide-typein,Single-KC,,KC31,,Pilot,Pilot,Activation Rule Considered,,,,,,,,,SIM_STUDENT_LEARNING,,,2,Tutoring,43,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:36.174
3823,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,1/11/14 10:54,33,ATTEMPT,SimStudent,RESULT,Logged Only,simStSession,'3x=6,1,1/11/14 10:52,'3x=6[divide 3],1,CORRECT,dorminTable1_C1R2,UpdateTable,'x,I thought it would be good to put x on the left-hand side. Does that sound okay?,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,divide-typein-SimStudent,divide-typein,divide-typein-SimStudent,divide-typein,Single-KC,,KC25,,Pilot,Pilot,Sim Student Requesting Confirmation of Input,,,,,,,,,SIM_STUDENT_INFO_RECEIVED,,,,Tutoring,44,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:36.437
665,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45458,0.333,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],7,UNGRADED,,,,Anna: I thought it would be good to put x on the left-hand side. Does that sound okay?,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,,,,,Single-KC,,KC31,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,45,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:36.618
668,Stu_4859d45f3584129c213ebcaee76550a4,L61372f37:1438200bc43:-8000,41650.45465,6,HINT_REQUEST,,HINT_MSG,,simStSession,'3x=6,1,41650.45282,'3x=6[divide 3],8,UNGRADED,,,,Me: Yes,,,MetaTutor,'Nv=N[divide N],Typein,'Nv=N,OneStep,,,,,Single-KC,,KC31,,Pilot,Pilot,Chat Dialog Entered,,,,,,,,,SIM_STUDENT_DIALOGUE,,,,Tutoring,46,ssmtJan14-p02,2014-01-11 Sat,2014-01-11-10:54:42.915
